,state,year,discharge_rate,row
329,UTAH,2012.0,73.14257028112449,658
330,UTAH,2013.0,72.36241610738256,660
331,UTAH,2014.0,78.31145266303767,662
332,UTAH,2016.0,50.02657756853216,664
333,UTAH,2018.0,47.26998698362677,666
334,VERMONT,2009.0,24.116828929068152,668
335,VERMONT,2010.0,23.806558738065586,670
336,VERMONT,2011.0,28.012118387322303,672
337,VERMONT,2012.0,32.744886975242196,674
338,VERMONT,2013.0,35.28803035529493,676
339,VERMONT,2014.0,36.834196026047756,678
340,VERMONT,2015.0,47.185732927359716,680
341,VERMONT,2017.0,53.648797893127174,682
342,VERMONT,2019.0,68.5400711572092,684
343,WISCONSIN,2010.0,47.649333906317146,686
344,WISCONSIN,2012.0,49.00027540622418,688
345,WISCONSIN,2014.0,46.469544648137195,690
346,WISCONSIN,2016.0,57.21821924858467,692
347,WISCONSIN,2018.0,48.27758362456315,694
348,WYOMING,2009.0,22.073578595317723,696
349,WYOMING,2010.0,20.700437773608506,698
350,WYOMING,2011.0,23.87934645999162,700
351,WYOMING,2012.0,23.036921476859074,702
352,WYOMING,2013.0,24.902912621359224,704
353,WYOMING,2014.0,24.545454545454547,706
354,WYOMING,2015.0,48.110502997133175,708
355,WYOMING,2017.0,52.417962003454235,710
