,state,year,medicaid_use,row
274,PENNSYLVANIA,2012.0,0.9976525821596244,1370
275,PENNSYLVANIA,2013.0,75.39700125563188,1375
276,PENNSYLVANIA,2014.0,81.87840075703808,1380
277,PENNSYLVANIA,2015.0,78.3621241202815,1385
278,PENNSYLVANIA,2016.0,81.32272501243163,1390
279,PENNSYLVANIA,2017.0,79.75848188614147,1395
280,PENNSYLVANIA,2018.0,71.79464444050363,1400
281,PENNSYLVANIA,2019.0,86.77969627626379,1405
282,RHODE ISLAND,2009.0,50.12430675081278,1410
283,RHODE ISLAND,2010.0,43.39133654202148,1415
284,RHODE ISLAND,2011.0,37.661418715726164,1420
285,RHODE ISLAND,2012.0,36.65525319877456,1425
286,RHODE ISLAND,2013.0,33.99249914763041,1430
287,RHODE ISLAND,2014.0,19.044131111518038,1435
288,RHODE ISLAND,2015.0,9.17128987517337,1440
289,RHODE ISLAND,2016.0,8.585401195435608,1445
290,RHODE ISLAND,2017.0,13.59416445623342,1450
291,RHODE ISLAND,2018.0,16.889979241366294,1455
292,RHODE ISLAND,2019.0,43.722257450856056,1460
293,SOUTH DAKOTA,2009.0,72.52347773401999,1465
294,SOUTH DAKOTA,2010.0,70.25888019265503,1470
295,SOUTH DAKOTA,2011.0,66.30026034133641,1475
296,SOUTH DAKOTA,2012.0,66.97879372073808,1480
297,SOUTH DAKOTA,2013.0,68.91364902506963,1485
298,SOUTH DAKOTA,2014.0,72.08904109589042,1490
299,SOUTH DAKOTA,2015.0,78.01461632155907,1495
300,SOUTH DAKOTA,2016.0,82.78161467015957,1500
301,SOUTH DAKOTA,2017.0,87.0626525630594,1505
302,SOUTH DAKOTA,2018.0,85.98872047937962,1510
303,SOUTH DAKOTA,2019.0,68.20288703482983,1515
304,TENNESSEE,2011.0,21.440910476577585,1520
305,TENNESSEE,2016.0,11.876211240310077,1525
306,TEXAS,2010.0,24.673483095753415,1530
307,TEXAS,2014.0,22.068221760664645,1535
308,TEXAS,2019.0,68.81769781531119,1540
309,UTAH,2009.0,16.869788325849903,1545
310,UTAH,2010.0,16.46993473128732,1550
311,UTAH,2011.0,17.554495034180317,1555
312,UTAH,2012.0,13.695225637671681,1560
313,UTAH,2013.0,17.20501868659904,1565
314,UTAH,2014.0,17.074877536738978,1570
315,UTAH,2015.0,21.44267274107821,1575
316,UTAH,2016.0,21.34950720242608,1580
317,UTAH,2017.0,19.40443213296399,1585
318,UTAH,2018.0,24.739823475167963,1590
319,UTAH,2019.0,16.143070855433155,1595
320,VERMONT,2010.0,18.966044661976138,1600
321,VERMONT,2012.0,30.570564080397666,1605
322,VERMONT,2013.0,12.554548506210136,1610
323,VERMONT,2014.0,12.18534551867885,1615
324,VERMONT,2015.0,9.164131018435654,1620
325,VERMONT,2016.0,7.661364051929056,1625
326,VERMONT,2017.0,6.2356792144026185,1630
327,VERMONT,2018.0,7.455577944678512,1635
328,VERMONT,2019.0,1.0908475913972433,1640
329,WISCONSIN,2012.0,30.930349089694335,1645
330,WISCONSIN,2017.0,28.424416746564397,1650
331,WYOMING,2009.0,0.10934937124111535,1655
332,WYOMING,2011.0,35.267349260523325,1660
333,WYOMING,2014.0,8.133971291866029,1665
334,WYOMING,2015.0,0.9723261032161555,1670
335,WYOMING,2017.0,37.48477466504263,1675
336,WYOMING,2018.0,0.7572172266919073,1680
